TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,StellarLoMaR,flag,teff,logg
90370,2712,146.905646,39.70114378,0.957,18.0282307,17.6174202,17.5979137,17.2299347,17.1756287,16.9288979,16.8228226,16.6324921,16.6206207,16.5509396,16.6184235,16.556076,0.929199219,0,,
90370,3205,147.714789,39.73190125,0.997,14.562665,14.3512259,14.1902161,13.4781666,13.3692589,12.846117,12.6869459,12.2624941,12.1886845,12.064414,12.0037804,11.9697514,0.974609375,0,,
90370,3326,147.681183,39.75645941,0.969,17.3887939,16.9804878,17.0379791,16.3644485,16.2796841,15.7578192,15.5762835,15.1548939,15.0694818,14.9056101,14.8372126,14.7961063,0.99609375,0,,
90370,6329,147.9460286,40.02189091,0.962,18.2167244,18.0313892,17.8702278,17.5603561,17.5550995,17.2730751,17.177494,16.9415264,16.8990669,16.8712559,16.7939835,16.7286205,0.635253906,0,,
90370,7619,146.6018887,40.23428006,0.928,18.2260399,17.9469643,17.9116459,17.3225212,17.2469368,16.8848495,16.7359314,16.4206772,16.372963,16.2864933,16.2488594,16.251358,0.958007813,0,,
90370,7909,147.970631,40.20698168,0.938,15.950942,15.7357006,15.5742645,14.8842916,14.7618294,14.2233438,14.0520258,13.627203,13.5479116,13.426753,13.3598061,13.3288403,0.980957031,0,,
90370,8208,147.7616505,40.1853946,0.981,18.1461983,17.8373756,17.7993965,17.4506054,17.3667583,17.1335831,17.032608,16.8528557,16.814003,16.7443066,16.7448654,16.8103943,0.87109375,0,,
90370,8411,147.2234126,40.16951003,0.969,17.9685898,17.6228256,17.5805397,17.2776241,17.1928024,16.9230576,16.8198795,16.6267967,16.5708466,16.5146885,16.4850082,16.4699783,0.976074219,0,,
90370,8507,146.8256555,40.16131397,0.981,17.8774281,17.6756897,17.4619713,16.7365913,16.568718,15.9541483,15.8246651,15.2297316,15.0947523,14.9132032,14.8084393,14.7692747,0.868652344,0,,
90370,8737,147.7658528,40.14111531,0.992,16.8382759,16.4128838,16.2494831,15.1056013,14.686594,13.7618198,13.4815569,12.6825409,12.5195074,12.224061,12.0514307,11.9842625,0.999023438,0,,
90370,9321,148.1725349,40.09866856,0.967,16.9072304,16.5917702,16.5545559,15.696517,15.5865431,14.9531908,14.7734947,14.2590675,14.1517849,13.9892731,13.8915033,13.8519621,0.998046875,0,,
90370,9552,147.5176994,40.07888327,0.958,18.2551403,18.0844688,18.1186314,17.4620132,17.4012413,16.9741478,16.8850899,16.5340233,16.4957237,16.3875389,16.3640423,16.3553581,0.94140625,0,,
90370,11167,147.4964855,40.78099088,0.968,17.9022827,17.7134094,17.5655098,16.9094696,16.8051224,16.2881565,16.1053658,15.6867285,15.599659,15.4778328,15.408803,15.3960619,0.706542969,0,,
90370,11351,146.6384322,40.76963405,0.934,18.1582603,17.8576164,17.7722473,17.5095539,17.4249115,17.1779537,17.1011086,16.8485126,16.7829628,16.6515331,16.6562958,16.6393166,0.921386719,0,,
90370,13402,147.3114152,40.5849554,0.976,17.4718933,17.1779594,17.1100254,16.3490314,16.1973,15.6505365,15.5004711,15.0061245,14.9211864,14.7717075,14.7046347,14.6740675,0.729492188,0,,
90370,16092,146.5365923,40.37678604,0.982,16.4324245,16.2124004,16.0303497,15.1675463,14.9527397,14.3255291,14.139554,13.5939999,13.4843397,13.3195629,13.2218981,13.1825132,0.998535156,0,,
90370,16208,147.5465017,40.37255106,0.986,14.4369898,14.2518444,14.0233774,13.3265276,13.199276,12.6776466,12.5061588,12.1011429,12.0229683,11.9072828,11.8564148,11.8314896,0.997070313,0,5124.64,3.21
90382,383,150.049176,39.48459711,0.984,17.8654861,17.6908646,17.6209621,17.1138592,17.0934563,16.6854248,16.5594807,16.2967453,16.2607212,16.1841354,16.1357307,16.1490479,0.918457031,0,,
90382,723,149.9396542,39.51079378,0.98,17.6425781,17.3437538,17.2701836,16.8485985,16.8337708,16.5309753,16.4419765,16.1688156,16.1321526,16.0406933,16.0244694,16.0109634,0.997558594,0,,
90382,1685,149.344777,39.58183823,0.988,17.1926308,16.9350414,16.9109173,16.5948601,16.5535088,16.3281841,16.1710777,15.9849796,15.9641027,15.8804092,15.8735104,15.866581,0.720214844,0,,
90382,3107,148.530442,39.68325269,1,17.3577995,17.0170097,17.0094299,16.2688179,16.2029991,15.6573315,15.4798164,15.0416431,14.9597378,14.7849751,14.7062941,14.6725388,0.9453125,0,,
90382,3253,149.0439896,39.70241688,0.979,18.1265144,17.9991188,17.9026356,17.7266579,17.5907154,17.4496098,17.3233051,17.2046013,17.1941528,17.1415176,17.1529732,17.1570206,0.574707031,0,,
90382,3974,150.0614159,39.74038629,1,16.9730988,16.5501251,16.5786171,16.1030579,16.0066032,15.6353664,15.4549284,15.1192617,15.0592813,14.9006987,14.8486204,14.8058643,0.983398438,0,,
90382,4087,148.321326,39.75182482,0.978,17.9216537,17.6505318,17.7272282,17.1927853,17.1478653,16.8735085,16.7536392,16.5253334,16.5002422,16.4164886,16.4299107,16.4418583,0.935546875,0,,
90382,5590,148.8755557,39.86510952,0.978,17.8404045,17.6710739,17.6525154,17.0690746,16.9914188,16.616188,16.4672852,16.164053,16.1227303,16.0186844,15.9860039,15.9853668,0.67578125,0,,
90382,5752,149.3096946,39.87751824,0.978,17.8245049,17.4239826,17.3923035,17.0836391,16.9963245,16.8161888,16.7142143,16.5597687,16.5682507,16.4926605,16.4754791,16.4867554,0.851074219,0,,
90382,11078,149.9147604,40.22868231,1,18.0354481,17.6267128,17.7690601,17.0741806,17.0015602,16.5694084,16.3945312,16.0598736,15.9914856,15.8547287,15.8349133,15.776372,0.988769531,0,,
90382,11191,148.720411,40.23884331,1,18.18783,17.9503403,17.9011421,17.5188713,17.4950867,17.287384,17.127449,16.9909458,16.9670792,16.8932037,16.9182968,16.9143715,0.943359375,0,,
90382,11968,149.4394903,40.28231622,1,17.9058914,17.8471889,17.6413879,16.8675995,16.7238846,16.2343178,16.1417713,15.619463,15.5427704,15.3945227,15.3335934,15.3046741,0.910644531,0,,
90382,12724,148.7231123,40.71409809,0.998,16.1766968,15.7483578,15.760973,15.1797876,15.098588,14.7023163,14.5436611,14.2156734,14.1551571,14.033124,13.9872227,13.9668989,0.995605469,0,,
90382,12745,149.6870442,40.7130471,0.963,17.7747765,17.5477295,17.5233917,16.8746223,16.8438835,16.4457092,16.2918854,15.9717569,15.9256859,15.8202076,15.8002758,15.7872591,0.548828125,0,,
90382,12906,149.2283258,40.70618438,1,16.963377,16.6425934,16.6307106,16.076231,16.0204945,15.5764675,15.3825703,15.006073,14.9208164,14.7769499,14.71595,14.6821356,0.951171875,0,,
90382,15044,149.0284646,40.57541786,0.977,16.5489159,16.2273369,16.1273499,15.8825665,15.7909822,15.6294479,15.53827,15.3838425,15.3698139,15.3046465,15.3217049,15.3207283,0.950195313,0,,
90382,15055,149.4825209,40.57479521,0.98,17.9765091,17.7754688,17.6692429,17.0154362,16.925312,16.5190773,16.3840485,16.0418663,15.9909573,15.8890705,15.853425,15.8649998,0.545410156,0,,
90382,16794,149.5150739,40.4712835,0.997,16.6993942,16.4222755,16.4141235,15.6702137,15.5971022,15.0865431,14.9258337,14.5175114,14.4479866,14.3081894,14.251646,14.2204628,0.900878906,0,,
90382,16893,149.491395,40.46697243,0.965,16.752121,16.4758453,16.4557457,15.9323483,15.8936024,15.592226,15.46206,15.222065,15.1990671,15.1137886,15.1428719,15.0923347,0.884765625,0,,
90382,16900,149.5589345,40.46598464,0.978,17.7285957,17.3292084,17.2931938,16.8292084,16.7396736,16.4278984,16.2956066,15.9925671,15.9446478,15.8251534,15.7817125,15.7735081,0.794433594,0,,
90382,17384,148.540617,40.43801689,0.978,17.7988224,17.5249863,17.5408325,17.0716209,17.0285339,16.7533875,16.6565208,16.413868,16.3763695,16.3285847,16.2990627,16.316082,0.888183594,0,,
90382,17617,148.8211775,40.42824259,1,17.7781296,17.500267,17.5715218,17.0632973,17.0351181,16.7087688,16.6072807,16.353756,16.3340454,16.2412987,16.2381821,16.2516899,0.958496094,0,,
90382,18946,148.8566138,40.35710027,1,18.1754131,17.9088135,18.0558681,17.3903236,17.3425369,17.0422382,16.918335,16.6671028,16.6145821,16.5666618,16.567524,16.5175667,0.966796875,0,,
90382,19149,148.8018142,40.33937608,1,17.962759,17.7341194,17.669136,17.004097,16.8669167,16.4176407,16.2831841,15.8628149,15.7953529,15.6746397,15.6264925,15.5890942,0.972167969,0,,
90382,20697,149.2978551,40.85009553,0.981,17.9390278,17.6678238,17.6595078,17.1796875,17.1398735,16.8403225,16.6582947,16.4194317,16.3776741,16.2553177,16.2625313,16.21632,0.870117188,0,,
90393,363,150.5109898,39.48626866,0.971,17.8745975,17.6563454,17.623291,17.1351948,17.1086216,16.7770691,16.6543179,16.3948288,16.3527107,16.2159691,16.2016144,16.208683,0.916015625,0,,
90393,408,151.8036833,39.48692432,0.99,17.8242664,17.4443245,17.4040241,16.7124271,16.6122551,16.0609207,15.862586,15.4480743,15.3454189,15.1702766,15.0732183,15.0697842,0.971191406,0,,
90393,579,151.0008973,39.49676123,0.988,16.5791435,16.3838577,16.1443691,15.4027424,15.2466888,14.6818399,14.5096989,14.0388651,13.9591255,13.8063679,13.7314329,13.7111197,0.964355469,0,,
90393,715,150.3673629,39.51337946,0.99,17.6734581,17.5277481,17.5796776,16.9838905,16.9387856,16.5715446,16.4094124,16.1015797,16.0524673,15.9081612,15.8530922,15.8552723,0.959472656,0,,
90393,2911,151.310237,39.66834816,0.974,17.4841805,17.1665955,17.138607,16.6374798,16.6318798,16.3400307,16.2070618,15.9772282,15.9726067,15.8796673,15.8681107,15.9012327,0.97265625,0,,
90393,3263,150.8697838,39.69210089,0.884,17.5112095,17.1543064,17.1118507,16.4353905,16.3566856,15.8566837,15.6913834,15.2756977,15.2017117,15.0542145,14.9910336,14.9754696,0.884765625,0,,
90393,4192,150.0789374,39.75550665,0.976,17.2514629,17.0313644,17.0207329,16.4472046,16.433506,16.0951824,15.9454823,15.7322636,15.6945524,15.6043434,15.5598974,15.584507,0.866699219,0,,
90393,5591,150.0908592,39.85149197,1,17.8537598,17.6029091,17.6248894,17.7994328,17.7813663,17.6875839,17.7037086,17.5379391,17.5547791,17.4280624,17.5225506,17.5857849,0.976074219,0,,
90393,5725,150.881742,39.85655057,0.959,17.806633,17.6500702,17.4911251,16.731041,16.6208286,16.0518093,15.8753633,15.4059763,15.3329611,15.1640606,15.0762825,15.0611668,0.978027344,0,,
90393,5734,151.3585795,39.86064105,0.996,17.24786,16.9416313,16.9219246,16.4268074,16.3683548,16.0565262,15.9236164,15.7061272,15.681572,15.5978374,15.579114,15.5942173,0.903808594,0,,
90393,7184,150.3430053,39.95686547,0.983,17.594593,17.3518982,17.3829784,16.9143066,16.8636608,16.4875946,16.3888416,16.0948563,16.0653458,15.9552155,15.9185743,15.9207449,0.627441406,0,,
90393,7604,150.7347549,39.98597116,0.976,17.8492622,17.5958519,17.5362568,17.1079788,17.035347,16.7945137,16.7072144,16.5022812,16.4890404,16.4111881,16.4624367,16.4019375,0.560546875,0,,
90393,8010,150.9706215,40.00339195,0.949,16.3501167,16.2363129,15.8904505,15.1016665,14.9008465,14.295454,14.1372871,13.6149073,13.5234985,13.3702097,13.2976389,13.2744846,0.829589844,0,,
